ligand_names,smiles,vina_score,vina_path,score,adjusted_score
1_0,O=C1NC2(CCc3[nH]c4ccccc4c3C2)C(=O)N1CC(=O)N1CC2(CCc3c2[nH]c2ccccc32)CC1c1ccc2c(c1)OCCO2,-9.9,,-9.9,-9.9
1_1,CC1(c2ccccc2)C2CNC(=O)C2=NN1c1nc(Nc2cc3c(cc2F)OCCO3)nc2cc(F)ccc12,-9.3,,-9.3,-9.3
1_2,C[C@@H]1C[C@H]2C[C@@H](C1)N(C(=O)[C@@H]1C[C@@H](O)[C@H](Nc3nc(-c4ccc5ncnc(Nc6cc7c(cc6F)OCCO7)c5c4)nc4ccccc34)O1)C2,-10.9,,-10.9,-10.9
1_3,c1nc(Nc2ccc3[nH]ncc3c2)c2cc(-c3ccc4c(c3)OCCO4)ccc2n1,,,0.0,0.0
1_4,O=C1CCC(N2CC3(CC2=O)CN(C(=O)c2cccc(N4C(=O)N(Cc5cc6c(cc5F)OCCO6)C5(CC(F)C5)C4=O)c2)CC3O)C(=O)N1,-9.8,,-9.8,-9.8
1_5,O=C1CC2C(C=C(c3c[nH]c4ccccc34)N2C(=O)CN2C(=O)NC3(CCC(Cc4ccc5c(c4)OCCO5)C(=O)N3)C2=O)c2c1[nH]c1ccccc21,-10.5,,-10.5,-10.5
1_6,O=C1NC(c2cc(O)c3c(c2)CCN(C(=O)C2CN(C(=O)c4ccc5[nH]nc(-c6ccc7[nH]ncc7c6)c5c4)C(=O)C4(CCNC4)C2)C3)Nc2ccccc21,-9.0,,-9.0,-9.0
1_7,NC(=O)c1cccc(Nc2nc(N)nc3ccc(-c4nc5ccccc5cc4N4CCOCC4)cc23)c1,-9.1,,-9.1,-9.1
1_8,Fc1ccc2c(c1)OC[C@H](n1c3ccncc3c3cc(-c4ccc5[nH]nc(-c6ccc7[nH]ncc7c6)c5c4)ncc31)O2,-10.1,,-10.1,-10.1
1_9,NC(=O)c1cccc(Nc2nc(N3CC4CC(N)CC43)nc3cc(F)c(-c4cc(F)c5[nH]ncc5c4)cc23)c1,-10.0,,-10.0,-10.0
1_10,C[C@H]1CN(c2cc(-c3ccc4ncnc(Nc5cc6c(cc5F)OCCO6)c4c3)nc3ccccc23)C[C@@H](C)O1,-9.7,,-9.7,-9.7
1_11,O=C1N(C(c2ccnc(Nc3n[nH]c4ccc(-c5ccc6[nH]ccc6c5)cc34)c2)c2c[nH]c3ccccc23)CC12CCOCC2,-9.9,,-9.9,-9.9
1_12,Nc1cc(-c2cccc(Nc3nc(Nc4cc5c(cc4F)OCCO5)nc4ccc(F)cc34)c2)nc(N)n1,-9.9,,-9.9,-9.9
1_13,Nc1nc(Nc2cc3c(cc2F)OCCO3)c2cc(C(=O)N3CCC4(CC3)CC(F)CO4)ccc2n1,-9.8,,-9.8,-9.8
1_14,NC(=O)C1(c2cccc(-c3ccc4nc(N)nc(Nc5ccc(F)c(C6(C(=O)O)CCNC6)c5)c4c3)c2)CCOC1,-9.5,,-9.5,-9.5
1_15,Cc1cccc(Nc2nc3cc(C)ccc3cc2-c2cc(-c3ccc4c(c3)OCCO4)nc(N)n2)c1,-10.6,,-10.6,-10.6
1_16,Fc1cc2c(cc1-c1cc(-c3ccc4[nH]ncc4c3)c3[nH]nc(-c4ccc5[nH]nc(-c6ccc7c(c6)OCCO7)c5c4)c3c1)OCO2,-12.0,,-12.0,-12.0
