ligand_names,smiles,vina_score,vina_path,score,adjusted_score
1_0,Cc1cc2nc(N3CCOCC3)nc(Nc3nc(N)nc4cc(F)c(-c5ccc6c(c5)OCCO6)cc34)c2cc1F,-9.9,,-9.9,-9.9
1_1,CN1C(=O)N(Cc2ccc3c(c2)OCCO3)C2(CCN(C(=O)Nc3ccc4c(c3)Cc3c-4[nH]c4ccccc34)CC2)C1=O,,,0.0,0.0
1_2,Cc1cc2cc[nH]c2nc1N[C@H]1CCN2C(=O)N(Cc3cc4c(cc3F)OCCO4)C(=O)[C@@H]2C1,-8.6,,-8.6,-8.6
1_3,C[C@H]1CN(c2nc(-c3nc(-c4ccc5[nH]nc(-c6cnc(N)nc6)c5c4)c4ccccc4n3)nc3ccccc23)C[C@H](C)O1,-9.9,,-9.9,-9.9
1_4,Nc1nc(Nc2nc3ccccc3nc2-c2cnc3ccccc3c2)c2cc3ccccc3nc2n1,-10.2,,-10.2,-10.2
1_5,CN(C[C@H]1O[C@@H](c2ccc3ccccc3c2)[C@@H]2CCN(C(=O)[C@]3(C)NC(=O)NC3=O)[C@@H]12)C(=O)NC1(c2cc3ccccc3cc2F)CC1,-9.2,,-9.2,-9.2
1_6,Nc1nc(-c2cc3cn[nH]c3cc2F)nc2c(-c3ccc4nc[nH]c4c3)cc(C(=O)N3CCC4(CC3)OCCO4)cc12,-9.8,,-9.8,-9.8
1_7,Cc1cccc(Nc2nc(Nc3ccc4c(c3)OCCO4)nc(N3CCOCC3)n2)c1,-8.4,,-8.4,-8.4
1_8,Nc1nc(N)c2cc(Nc3nc(C(=O)N4CCC5(CC4)CC(F)C5)nc4ccccc34)ccc2n1,-9.7,,-9.7,-9.7
1_9,CN1CCN(c2nc(-c3ccc4c(c3)OCCO4)c3cc(Oc4cccc5ccncc45)ccc3n2)CC1,-9.0,,-9.0,-9.0
1_10,O=S(=O)(c1ccc2[nH]ncc2c1)N1CC2CC1CN2c1nc(Nc2cc3[nH]ccc3cc2F)c2ccccc2n1,-9.6,,-9.6,-9.6
1_11,CC1(c2cccc(Nc3nc(N)nc4cc(F)c(-c5cc6ccc(F)cc6o5)cc34)c2)NC(=O)NC1=O,-8.9,,-8.9,-8.9
1_12,C[C@H]1CN(C(=O)c2cccc(Nc3nc(-c4ccc5[nH]nc(-c6cc7c(cc6F)OCCO7)c5c4)nc4ccccc34)c2)C[C@@H](C)O1,-11.5,,-11.5,-11.5
1_13,C[C@H]1CN(c2nc(Nc3nc(N4C[C@H](C)O[C@H](C)C4)nc4cc(Nc5ccc6[nH]ncc6c5)c(F)cc34)c3ccccc3n2)C[C@@H](C)O1,-10.1,,-10.1,-10.1
1_14,C[C@@H]1C[C@H](Oc2cc3c(N)nc(N)nc3cc2-c2cc3c(N)n[nH]c3cc2F)CN1C(=O)Nc1ccc2c(c1)OCCO2,-10.0,,-10.0,-10.0
1_15,Fc1c(C2CCN(c3nc(Nc4cccc5ccccc45)c4ccccc4n3)CC2)[nH]c2ccc(Br)cc12,-9.2,,-9.2,-9.2
1_16,Cc1ccc2c(Nc3nc(N4CCC(N5C[C@@H](c6nc(N7CCOCC7)c7ccccc7n6)OC5=O)CC4)nc4ccccc34)cccc2n1,-10.0,,-10.0,-10.0
1_17,Nc1nc(Nc2nc3nc(N4CCN(C(=O)c5cc6c(cc5F)OCC6)CC4)c(C4CC4)cc3cc2F)nc2ccccc12,-9.6,,-9.6,-9.6
1_18,O=C(Nc1cc2cn[nH]c2cc1F)N1CCC2(CC1)Nc1ccc(-c3cc4[nH]ccc4cc3F)cc1C2=O,-10.0,,-10.0,-10.0
1_19,CN1CCN(C(=O)c2cc3cc(-c4ccc5[nH]ncc5c4)ccc3nc2Nc2ccc3c(c2)OCCO3)CC1,-9.2,,-9.2,-9.2
1_20,O=C1Cc2ccc(NC(=O)N3Cc4ccccc4C3C(=O)N3Cc4ccccc4C3)cc2-c2ccccc21,-9.7,,-9.7,-9.7
1_21,O=S(=O)(c1ncnc2c(Nc3ccc4[nH]ncc4c3)nc(-c3cc4c(cc3F)OCCO4)cc12)N1CCOCC1,-9.3,,-9.3,-9.3
1_22,C[C@@]12CC[C@]3(C)[C@@H](CC=C4C[C@@H](NC(=O)N5Cc6ccccc6C5)CC[C@]43C)[C@@H]1Cc1c(cc3ccccc3c1O)C2,-7.9,,-7.9,-7.9
1_23,CC1(N2CCN(c3ccc4c(Nc5ccc6nc(N)nc(N)c6c5)nc(Nc5cc6c(cc5F)OCCO6)nc4c3)CC2)CNC(=O)C1,-9.8,,-9.8,-9.8
1_24,O=C(C1CC(=O)N(c2ccc3ccccc3n2)C1)N1CCc2c(Nc3ccc4ccccc4n3)nc3ccccc3c2C1,-9.2,,-9.2,-9.2
1_25,O=c1[nH]c2ccccc2c2nc3ccccc3c(Nc3nc(Nc4ccc5c(c4)OCCO5)nc4ccccc34)c12,-10.3,,-10.3,-10.3
1_26,C[C@H]1CN(c2nc(-c3ccc4[nH]ncc4c3)nc3cccc(O[C@@H]4CN5CN(C(=O)N6C[C@H](F)C[C@@H]6C)[C@@H]4C5=O)c23)C[C@@H](C)O1,-9.9,,-9.9,-9.9
1_27,Cc1ccc2c(N3CCN(c4nc5ccccc5cc4C)CC3)cc(-c3cc4ccccc4o3)nc2c1,-9.8,,-9.8,-9.8
1_28,CC1(C)CC(C)(C)CC2(C1)NC(=O)N(C1C(=O)NC(=O)C1N1C(=O)C3C4C(=O)NC(=O)C4C(c4c[nH]c5ccc(F)cc45)C3C1=O)C2=O,-10.1,,-10.1,-10.1
1_29,Cc1[nH]nc2nc(N)nc(Oc3ccc4nc(-c5cc6c(cc5F)OCO6)cc(-c5ccc6c(c5)OCCN6)c4c3)c12,-9.7,,-9.7,-9.7
1_30,CC1(C)CCc2nc3n(c(=O)c2C1)CC12CC(F)(CCN1C(=O)N(C1c4ccccc4-c4ccccc41)C2=O)C3,-9.0,,-9.0,-9.0
1_31,CC1(c2ccc3[nH]c4ccc(NC(=O)c5ccc6[nH]nc(-c7cc8cn[nH]c8cc7F)c6c5)cc4c3c2)CNC(=O)N1,-10.3,,-10.3,-10.3
1_32,C=C1C(=O)CC(=O)C=C1C(=O)[C@H]1CC[C@H]2[C@H]3O[C@@H]4O[C@@](C)(c5c6ccccc6nc6[nH]ccc56)c5cc6c(cc5O[C@@H]4[C@H]3CC[C@@]12C)OCO6,-9.3,,-9.3,-9.3
1_33,Nc1nc(-c2ccc3[nH]nc(Nc4ccc5[nH]nc(-c6ccc7c(c6)OCCO7)c5c4)c3c2)nc2ccccc12,-10.3,,-10.3,-10.3
1_34,Nc1ncnc2cc(F)c(Nc3nc(Nc4cc5c(cc4F)OCCO5)nc4ccccc34)cc12,-10.3,,-10.3,-10.3
1_35,C[C@H]1CN(c2nc(-c3cc(N)nc(N)n3)nc3cc(F)c(-c4ccc5cc[nH]c5c4)cc23)C[C@@H](C)O1,-9.6,,-9.6,-9.6
1_36,O=C(c1cccc(Nc2nc(Nc3cccc4cccnc34)c3cnc4ccccc4c3n2)c1)N1CCOCC1,-9.0,,-9.0,-9.0
1_37,Fc1cc2c(cc1Nc1ncnc3ccc(Nc4nc(N5CCOCC5)c5ccccc5n4)cc13)OCCO2,-10.4,,-10.4,-10.4
1_38,CC1(C2CCN(C(=O)Nc3cc(-c4nc5ccccc5[nH]4)cc(-c4ccc5[nH]ncc5c4)n3)CC2)NC(=O)NC1=O,-9.2,,-9.2,-9.2
1_39,Cn1c(-c2cccc(F)c2)cc2cnc(Nc3cc(O)cc4ccc(-c5cc6c(cc5F)OCCO6)nc34)nc21,-8.9,,-8.9,-8.9
