smiles,score
c1(cc2c(cc1)OCCO2)-c1nc2c(cccc2)c(c1)NCc1nc2ccccc2c(n1)Nc1nc2c(cccc2)cn1,34.10039536807804
c1(-c2cc(ccc2)C2Nc3c(cccc3)-c3c2cc[nH]3)nc2ccccc2c(NC(C2CCN(C(=O)C)CC2)=O)c1,32.92168105665055
c1(-c2cc(ccc2)NC(c2cc3c(cc2F)OCCO3)=O)cc2c(NC(C2)c2cc3c(cc2F)[nH]nc3)cc1,30.57493494150004
c1cc2c(cc1C(=O)Nc1c3cc(-c4cc5c([nH]nc5)cc4)ccc3[nH]n1)OCCO2,3.447346426408021
O=C(Nc1cc2c(Oc3c(-c4c2cc2c(c4)OCO2)cc2c(c3)OCO2)cc1)N1Cc2c(cccc2)C1,30.47346221825599
c1cc2cc(-c3cc4c(nc3O)cc(cc4)O)nc(c2cc1)Nc1cc2c(cc1F)OCCO2,30.685231625951662
C1(N2C(=O)[C@H]3[C@@H](C2c2c1cc1c(c2)OCO1)C=Nc1c3cc2c(c1)OCO2)c1cc2c(OCO2)cc1,30.557391011714117
c1c2c(ccc1)cc(nc2Nc1cc(ccc1)C(N1C[C@H](Oc2cc3c(nc(nc3cc2F)N)N)CC1)=O)C(F)(F)F,32.56568162574441
c1cc2cc(ccc2cc1)N1C(=O)C2(C(NC(N2)=O)=O)N(c2nc3c(cccc3)c(n2)N2CC(C2)O)C1=O,31.238179489260787
c1c2c(ccc1)cc1c(c2O)nc2c(cccc2)c1Nc1cc2c(cc1)nc(nc2N)N,31.158468659470486
c1(-c2c(cc3c(c2)OCO3)-c2cc3c(cc2)OCCO3)nc2c(cc1)cc(cc2)Nc1nc2c(cn1)cc(cc2)C(=O)N,31.33342334001884
c1(-c2cc3c(cc2F)OCCO3)cc2c(nc1Nc1cc3c([nH]nc3)cc1)cc(cc2)C(=O)N1CCN(C)CC1,34.857465695431934
O1c2cc3c(cc2OC1)CCN(C3)C(c1nc2c(cccc2)c(c1)Nc1nc2c(cccc2)cc1)=O,34.32992630632195
O1c2cc(-c3nc4c(cccc4)c(n3)Nc3cc4c(cc3F)OCCO4)cc(c2OC1)C(N2C3C(C2)CC(C3)N2CC(C2)F)=O,33.399386137825154
c1c(-c2cc3c(nc2Nc2cc4c(cc2F)nc(nc4N2CCOCC2)N)cc(cc3)F)cc2c(c1)OCCO2,32.35989959484075
