ligand_names,smiles,vina_score,vina_path
1_1,Cc1ccc([C@@H]2CCN(C(=O)N[C@H]3CCc4nc5ccc(NC(=O)c6ccc(N7CCN(CC8CCC(F)(F)CC8)CC7)cc6)cc5c(C(=O)NCCN5CCCCC5)c4[C@@H]3C3CC3)C2)o1,,
1_2,CC(C)C[C@H](NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C1CCCCC1)C(C)C)C(C)C)C(=O)N[C@@H](C)/C=C\CCCC[C@@H]1NCCNC1=O,-6.3,
1_3,CC(=O)c1cc(S(=O)(=O)NC(C(=O)NC(C)(C)C)(c2ccccc2)c2ccccc2)ccc1OCC1CCN(S(=O)(=O)C2CCS(=O)(=O)CC2)CC1,-7.1,
1_4,C[C@@H]1CN(c2nc(NC3CC3)cc(-c3nc4cc(NC(=O)c5cc(Cl)cc(Cl)c5)ccc4s3)n2)CCO1,-8.3,
1_5,Cc1nn(C)c2c1OC[C@H](NC(=O)Nc1cccc(S(=O)(=O)N3CCN(C)CC3)c1)C2,-7.2,
1_6,FC(F)(F)C1CCN(CCCN2CC3(CCN(Cc4ccc(N5CCOCC5)cc4)CC3)C2)CC1,-6.4,
1_7,Cn1cncc1-c1nc2ccc(N3CCN(C(C(=O)N4CCC5(CC4)OCCO5)c4ccncc4)CC3)cc2s1,-8.6,
1_8,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCN(C(=O)CCc2ccc(Oc3ccccc3)cc2)CC1,-7.2,
1_9,Cc1ccc2c(c1)[nH]c1cc(C)cc(-n3c4ccccc4c4ccccc43)c12,-7.9,
1_10,CS(=O)(=O)N1CCN(CCCCn2cc(-c3ccccn3)n3nc(-c4cccnc4)nc23)CC1,-7.6,
1_11,CCN1CCN(S(=O)(=O)c2ccc(NC(=O)c3cccc(Nc4c(C)c(=O)[nH]c(=O)n4C)c3)c(C)c2)CC1,-7.3,
1_12,CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)COC(=O)c1ccccc1)C(=O)N[C@@H](C)C(N)=O,-7.6,
1_13,CN(CC[C@H]1O[C@H](c2sc(N)nc2C#N)C[C@H](O)CC[C@H]1N1CCOCC1)Cc1ccc(F)cc1,-7.0,
1_14,CCOc1ccc(S(=O)(=O)NCC2CCCN(S(=O)(=O)c3ccc4c(c3)NC(=O)CO4)C2)cc1,-8.0,
1_15,COc1ccc2c(c1)oc1cccc(S(=O)(=O)N3CCC(C4CCN(C(=O)Nc5ccc6nc(OCCCN(C)C)ccc6c5)CC4)CC3)c12,-7.8,
1_16,CCNS(=O)(=O)c1ccc(N2C(=O)N3C(=O)N(Cc4ccc(F)cc4F)C(=O)[C@H]3[C@H]3CCCC[C@H]32)cc1,-7.6,
1_17,CN(C(=O)CN(CC1CCCO1)C(=O)N1CCCCC1C(N)=O)c1ccn2c(=O)nc(Nc3ccccc3)nc2c1,-7.5,
1_18,COc1ccc(S(=O)(=O)N2CCC(n3c(=O)n(C4CCN(S(=O)(=O)c5ccc(OC)cc5)CC4)c4c(NC5CCN(C)CC5)ncnc43)CC2)cc1,-8.4,
1_19,CC(=O)c1ccc(S(=O)(=O)N(C(=O)C2(C)NC(=O)NC2=O)C(C)(C)C)cc1,-7.0,
1_20,CCNC(=S)NCCCN(CC)CCCN1CCC(c2ccccc2)CC1,-5.4,
1_21,O=C(O)CCCN1CCC(Cn2c(CCC(=O)OCCN3CCCCC3CC3CCCCC3)c(-c3ccc(Cl)cc3)c3ccccc32)CC1,-7.8,
1_22,CCN(c1ccc(NC(=O)c2ccc(OC(C)C)c(NC(=O)c3cc4ccc(F)cc4[nH]3)c2)cc1)S(C)(=O)=O,-7.1,
1_23,N#Cc1cnc(C(=O)NCc2ccc(F)c(C(F)(F)F)c2)s1,-6.6,
