ligand_names,smiles,vina_score,vina_path,score,adjusted_score
1_0,O=C1c2ccccc2C(c2ccc3ccccc3c2)N1c1cccc(-c2nc(-c3ccc(F)cc3)no2)c1,-8.7,,-8.7,-8.7
1_1,CC1(C)CCN(c2cccc(NC(=O)Nc3cnc4ccccc4n3)c2)C(=O)N1,-8.2,,-8.2,-8.2
1_2,Cc1cccc(N2CCN(c3cc(Nc4ccccc4)nc(NC(=O)C(=O)NC4CC(Cc5ccccc5)c5ccccc54)n3)CC2)c1,,,0.0,0.0
1_3,Oc1cccc([C@@H]2CO[C@H](c3ccccc3)CN2c2ccnc3ncnc(Nc4ccc(O)c(F)c4)c23)c1,-8.0,,-8.0,-8.0
1_4,Cc1c(-c2ccc(C(=O)Nc3nc4ccc(CN5CCN(C(=O)c6ccc(F)cc6)CC5)cc4o3)cc2)ccc2ncccc12,-8.0,,-8.0,-8.0
1_5,CC(C)(NC(=O)Nc1cccc(Cl)c1)C(=O)Nc1ccc2[nH]c3c(c2c1)C(c1cccc2ccccc12)C(=O)NC3(C)C,-9.1,,-9.1,-9.1
1_6,O=C(Nc1ccc2c(C(=O)NC3CCCCC3)n[nH]c2c1)c1ccc(-c2nnc3ccccn23)cc1,-8.6,,-8.6,-8.6
1_7,Cc1cc(C(=O)C2CCN(Cc3c(F)cccc3F)CC2)ccc1NC(=O)c1ccccc1S(=O)(=O)N1CCOCC1,-7.8,,-7.8,-7.8
1_8,O=C(Nc1cccc(-c2cc3cc(NC(=O)Nc4cccc(-c5ccccc5)c4)ccc3oc2=O)c1)Nc1cccc(C(F)(F)F)c1,-9.5,,-9.5,-9.5
1_9,O=S(=O)(c1ccc(Nc2nc(-c3ccccc3)nc3ccc(O)cc23)cc1)N1CCOCC1,-8.6,,-8.6,-8.6
1_10,CC(=O)N1CCC(C(=O)N2CCN(S(=O)(=O)c3ccc(-c4ccc5oc(N6CCN(c7ccccc7C)CC6)nc5c4)cc3)CC2)CC1,-7.3,,-7.3,-7.3
