ligand_names,smiles,vina_score,vina_path,score,adjusted_score
1_0,N[C@H](Cc1ccccc1)C(=O)N1C[C@@H](c2c(-c3ccccc3F)[nH]c3ccc(F)cc23)OC2=C1C(=O)c1c(O)cccc12,-9.0,,-9.0,-9.0
1_1,CN1CCN(c2nc(Oc3ccc4ccc(-c5nc(N6CCN(C)CC6)nc6[nH]ccc56)cc4c3)c3cc[nH]c3n2)CC1,,,0.0,0.0
1_2,O=C(Nc1ccc2c(c1)-c1nc3ccccc3cc1CC1(CNC1=O)C(=O)N2)N1CCCCC1,-9.1,,-9.1,-9.1
1_3,Oc1ccc2ncnc(Nc3ncc(Oc4ccc5[nH]ccc5c4)c4ccccc34)c2c1,-8.9,,-8.9,-8.9
1_4,NC(=O)c1ccc2ncc(-c3nc(Nc4cnc5ccccc5n4)c4ccc(C(F)(F)F)cc4n3)cc2c1,-9.4,,-9.4,-9.4
1_5,Nc1nc(N2CCN(C(=O)[C@@H]3CCCN3C(=O)[C@@H]3CCCN3C(=O)Nc3ccc4ccccc4c3)CC2)nc2ccccc12,-9.2,,-9.2,-9.2
1_6,Cc1ccc2c(NC(=O)c3cc(F)ccc3-c3cc(F)cc([C@@H]4N=C(O)N[C@H](c5cccc(F)c5)O4)c3)ncnc2c1,-9.4,,-9.4,-9.4
1_7,CC(=O)N1CCC(n2cc(C)c(=O)c3ccc(-c4cc5cc6c(cc5o4)OCCO6)cc32)CC1,-8.4,,-8.4,-8.4
1_8,NS(=O)(=O)c1cccc(Nc2nc3ccc(C(=O)O)cc3cc2-c2ccc3c(F)cccc3c2)c1,-10.2,,-10.2,-10.2
1_9,C[C@@H]1Cc2cc(Nc3ncnc4ccc(N5CCN(c6c(-c7ccc8c(c7)OCCO8)nc7cccnn67)CC5)cc34)ccc2N1,-10.2,,-10.2,-10.2
1_10,C[C@H]1COCCN1C(=O)c1cc(F)c2[nH]c(-c3cc4c(F)cc(F)cc4o3)nc2c1,-9.0,,-9.0,-9.0
1_11,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1C[C@@H](Oc2ccc3ccncc3c2)C[C@H]1C(=O)N1CCC(F)(F)CC1,-9.0,,-9.0,-9.0
1_12,C[C@@H]1CNc2cc(-c3cc(O[C@@H]4CCN(c5nc(F)c6nc(N7CCOC[C@H]7C)[nH]c6n5)C4)c4cc[nH]c4n3)cnc2O1,-9.9,,-9.9,-9.9
1_13,CN1CCN(c2ncnc3cccc(Oc4ccc5ncc(NC(=O)c6ccc7ccccc7c6)cc5c4)c23)CC1,-9.4,,-9.4,-9.4
1_14,O=C(c1ccc2cc[nH]c2c1)N1CC2CCC1CN2c1cc(N2CCOCC2)nc(Nc2cc3c(cc2F)OCCO3)n1,-9.1,,-9.1,-9.1
1_15,C[C@@]12C(=O)N(c3ccc4ccccc4c3)C(=O)N1C(=O)[C@@H](NC(=O)c1c[nH]c3ccccc13)Cc1c2[nH]c2ccccc12,-9.9,,-9.9,-9.9
1_16,Fc1cccc(Nc2nc(N3CCOCC3)c3cc(Nc4ccc5[nH]ccc5c4)ccc3n2)c1,-9.4,,-9.4,-9.4
1_17,Fc1ccc(-c2nc3ccccc3[nH]2)cc1Nc1ncnc2[nH]cc(-c3c[nH]c4ccccc34)c12,-9.2,,-9.2,-9.2
1_18,Cc1cc(C(=O)NC2(C(=O)N3CCC4(CC3)Oc3cc(F)ccc3-c3ccccc34)CCCC2)c2cc[nH]c2n1,-8.7,,-8.7,-8.7
1_19,c1cc2c(cc1Nc1ncc3nc(Nc4ccc5c(c4)OCCO5)c(-c4ccc5c(c4)OCO5)nc3n1)OCCO2,-9.3,,-9.3,-9.3
1_20,O=C(c1cc(F)cc(-c2nc3cc(F)ccc3[nH]2)c1)N1CCN(Cc2ccc3c(c2)OCCO3)CC1,-8.8,,-8.8,-8.8
