ligand_names,smiles,vina_score,vina_path
1_0,Fc1cc2nc(Nc3cc4c(cc3Cl)OCCO4)nc(Nc3ccc4c(c3)OCO4)c2cc1F,,
1_1,O=C1CCC(N2C(=O)C3C(=O)N(c4ccc5ccccc5c4)C(c4ccc5ccccc5c4)C3C2=O)C(=O)N1,-8.7,
1_2,C[C@H]1CN(C(=O)c2cc(NC(=O)Nc3cccc(NC(=O)c4ccc5cc[nH]c5c4)c3)c3cc[nH]c3c2)C[C@@H](C)O1,-8.8,
1_3,C[C@H]1CN(c2nc(Nc3cc4c(cc3F)OCCO4)c3cc(N4CCN(C(=O)c5ccc6cc[nH]c6c5)CC4)c(F)cc3n2)C[C@@H](C)O1,-9.6,
1_4,Fc1ccc2c(c1)O[C@H](c1ccc3c(c1)OCCO3)[C@@H](c1nc(Nc3cc4c(cc3F)OCCO4)c3ccccc3n1)O2,-9.9,
1_5,c1ccc2c(Nc3c4ccccc4nc4ccccc34)nc(Nc3ccc4[nH]nc(-c5ccc6c(c5)OCCO6)c4c3)nc2c1,-10.7,
1_6,O=C(c1cccc(-c2cc(F)cc(-c3n[nH]c4ccc(-c5ccc6[nH]ccc6c5)cc34)c2)c1)N1CCN(c2cnc3ccccc3n2)CC1,-10.9,
1_7,CN1CCN(C2c3cc4nc5ccccc5cc4cc3CCN2C(=O)c2cccc(NC(=O)c3cccc(F)c3)c2)CC1,-9.2,
1_8,Nc1nc(-c2ccc3[nH]nc(-c4cc(F)cc(C(=O)N5CCC6C(=O)NCC65)c4)c3c2)nc2cc(F)ccc12,-11.2,
1_9,CC1(c2ccc3ccc(C(=O)N4CCN(c5nc6cc(C(F)(F)F)ccc6c6ccccc56)CC4)cc3c2)NC(=O)NC1=O,-9.6,
1_10,CN1C(=O)c2cc3c(cc2[C@H]2[C@@H](c4ccc5c(c4)OCO5)Oc4cc(NC(=O)N5Cc6ccccc6C5)ccc4[C@@H]21)OCO3,-9.5,
1_11,CC(=O)N1CCN(c2ccc3c(Nc4nc(C5CCOCC5)cc5c(=O)n(C)c6ccccc6c45)cccc3n2)CC1,-8.9,
1_12,c1cc2c(N3CCOCC3)nc(-c3ccc4[nH]nc(-c5ccc6[nH]ncc6c5)c4c3)nc2[nH]1,-9.4,
1_13,Cc1cc(C)cc(Nc2nc(N3CCOCC3)nc3cc(-c4c[nH]c5ccccc45)ccc23)c1,-9.6,
1_14,Fc1cc2c(cc1-c1ccc3cc(-c4ccc5[nH]nc(-c6cc7c(cc6F)OCCO7)c5c4)ccc3n1)OCCO2,-9.5,
1_15,CC1(c2cccc(-c3nn(-c4cc5c(cc4F)OCCO5)cc3-c3ccc4cc(F)ccc4n3)c2)NC(=O)NC1=O,-9.3,
1_16,Nc1nc(CN2CCC3(CC2)OCc2cc4occ(-c5cc6c(cc5F)OCCO6)c(=O)c4cc2O3)nc2ccccc12,-9.6,
1_17,Cc1cccc(Nc2cc(C)nc(Nc3c(C(N)=O)cnc4ccc(-c5cc6c(cc5F)OCCO6)cc34)n2)c1,-8.7,
1_18,C[C@H]1CN(C(=O)c2cccc(Nc3nccc4cc(F)c(Nc5nc(N)nc6ccccc56)cc34)c2)C[C@@H](C)O1,-9.8,
1_19,Cc1ccc(Nc2nc(Nc3cccc(C(=O)N4CCOCC4)c3)nc3ccc(-c4ccc5c(c4)OCCO5)cc23)cc1C,-11.0,
1_20,Cc1cc2cc(C(=O)N3CCN(C)CC3)ccc2nc1Nc1cc(-c2ccc3c(c2)OCCO3)nc2cc(F)ccc12,-9.8,
1_21,Nc1ncc(-c2nccc3cc(Nc4ncnc5cc(F)c(N6CCOCC6)cc45)c(F)cc23)cn1,-8.1,
1_22,O=C1O[C@@H](c2ccc3ccccc3c2)CN1[C@H]1CC[C@@H]2[C@H](C1)OCCN2C(=O)c1cnc2ccccc2c1,-8.9,
1_23,c1cc(Oc2ccc3[nH]nc(Nc4ncnc5[nH]c(-c6ccc7c(c6)OCCO7)cc45)c3c2)cc(C2CCNCC2)c1,-8.9,
1_24,C[C@H]1CN(c2nc(Nc3cccc(C(N)=O)c3)c3cc(-c4ccc5[nH]ncc5c4)ccc3n2)C[C@H](C)O1,-9.6,
1_25,O=C(Nc1ccc2c(c1)OCCO2)N1CCN(C(=O)Nc2nc(Nc3ccc4c(c3)OCCO4)c3ccccc3n2)CC1,-7.9,
1_26,O=C1NC(=O)c2cc3c(cc21)Cc1cc(NC(=O)N2CCC4(CC2)COc2ccccc24)ccc1-3,-8.2,
1_27,Nc1nc(N[C@@H]2CCc3ccc(NC(=O)c4cc5ccccc5nc4O)cc32)nc2ccccc12,-9.4,
1_28,O=C1CC[C@@H](N2C[C@H]3C[C@H](c4cc5ccccc5[nH]4)N(C(=O)c4cc5ccccc5[nH]4)[C@@H]3C2=O)C(=O)N1,-8.5,
1_29,O=C(Nc1ccc2c(c1)[C@@H]1c3cc4c(cc3NC(=O)[C@@H]1[C@@H](c1ccc3c(c1)OCO3)O2)OCO4)c1ccc2c(c1)OCCO2,-9.0,
1_30,C[C@H]1Oc2cc3ccccc3cc2O[C@H]1n1c2cc3ccccc3cc2c2nc(N)nc(N)c21,-9.5,
1_31,Cc1cc(Nc2nc(Nc3cccc(Oc4cc5c(N6C[C@H](C)O[C@H](C)C6)ncnc5cc4F)c3)c3cc[nH]c3n2)nc(C)n1,-9.3,
1_32,CNc1n[nH]c2nc(N)nc(-c3n[nH]c4ccc(-c5cc(F)c6ccc(-c7nc8ccccc8[nH]7)nc6c5)cc34)c12,-10.3,
1_33,c1ccc2c(Nc3nc(Nc4ccc5c(c4)OCCO5)c4ccccc4n3)nc(-c3ccc4[nH]ncc4c3)cc2c1,-10.7,
1_34,C[C@H]1CN(C(=O)c2ccc3c(Nc4ccc5c(c4)OCCO5)nc(-c4cccc([C@]5(C)NC(=O)NC5=O)c4)cc3c2)C[C@@H](C)O1,-10.4,
1_35,Nc1nc(-c2cnc3cc(O)ccc3c2)cc2cc(Oc3cc4c(N5CCOCC5)ncnc4cc3F)ccc12,-9.9,
1_36,Oc1ccc2cc(-c3cc4c(cc3F)OCCO4)nc(-c3cc4c(cc3F)OCCO4)c2c1,-9.3,
1_37,Fc1cc(F)cc(Nc2ncnc3nc(Nc4cc5c(cc4F)OCCO5)n(Cc4ccc5ccccc5c4)c23)c1,-10.5,
1_38,Cc1cc(Oc2ccc3cc4cnc(C(=O)N5CCN(C)CC5)cc4cc3c2)cc(C(=O)N2CCN(c3cnc4[nH]ncc4c3)CC2)c1,-9.8,
1_39,O=C(Nc1ccc2nc(Nc3cccc(F)c3)nc(N3CCOCC3)c2c1)c1ccc2[nH]nc(-c3cccc(F)c3)c2c1,-8.6,
1_40,Cc1ccc2c(Nc3nc(Nc4ccc5c(c4)OCCO5)c4ccccc4n3)nc(-c3ccc4c(c3)OCCO4)nc2c1,-9.6,
1_41,O=C1C2CN(S(=O)(=O)c3ccc4ccccc4c3)C2C(=O)N1Cc1c[nH]c2ccccc12,-8.6,
1_42,Cc1cc(Nc2cc3c(F)cc(-c4n[nH]c5ccc(-c6ccc7c(c6)OCCO7)cc45)cc3cn2)nc(N)n1,-10.5,
1_43,Nc1nc(-c2ccc3c(c2)OCCO3)cc2ccc(Nc3nc(Nc4cccc(F)c4)c4ccccc4n3)cc12,-8.9,
1_44,Fc1ccc2c(N3CCC4(C3)OCCO4)nc(Nc3cc4c(cc3F)OCO4)nc2c1,-8.8,
1_45,Nc1ncnc2c3ccc(NC(=O)c4ccc5c(c4)OCCO5)cc3n(CC(=O)N3CCC4(C3)OCc3ccc5occc5c3O4)c12,-9.2,
1_46,CN1CCN(C(=O)c2cc(Nc3cc4ccccc4cc3-c3nc4ccccc4[nH]3)nc3ccccc23)CC1,-9.1,
1_47,CN1CC2=C(CCN(C(=O)c3cc(F)cc(-c4ccc5[nH]nc(-c6cc7cn[nH]c7cc6F)c5c4)c3)C2)c2cc3cn[nH]c3nc21,-10.5,
1_48,CC1COCCN1c1nc(N)c2c(n1)-c1cc(F)ccc1Oc1ccc(NC(=O)N3CCN(C(=O)c4cc5ccccc5[nH]4)CC3)cc1-2,-10.5,
1_49,CC1(c2ccc3cc(-c4cc5c(cc4F)OCCO5)nc(Nc4cc5cn[nH]c5cc4F)c3c2)NC(=O)NC1=O,-10.1,
1_50,O=C(N1CCOCC1)N1C[C@H]2CN(c3nc(Nc4cccc5cc(-c6ccc7[nH]ncc7c6)cnc45)nc4[nH]ccc34)C[C@@H]2C1,-9.8,
1_51,COc1cc(OC)cc(-c2cccc3c2[nH]c2cc(C4Nc5ccccc5-c5[nH]ccc54)ccc23)c1,-8.5,
1_52,CN1C(=O)[C@@H]2CN(C(=O)c3n[nH]c4ccccc34)C[C@H]2c2cc(NC(=O)Nc3ccc4c(c3)OCCO4)ccc21,-9.1,
1_54,Nc1nc(-c2ccc3c(c2)OCCO3)nc2cc3c(cc12)C1(CCN(C(=O)Nc2ccc4c(c2)OCCO4)CC1)CO3,-8.4,
1_55,O=C1c2ccccc2C(c2ccc3c(c2)OCCO3)N1Cc1ccc2c(c1)OCCO2,-8.3,
1_56,O=C(Nc1ccc2[nH]nc(-c3cc4ccccc4[nH]3)c2c1)c1cccc(-c2ccc3ccccc3n2)c1,-9.9,
1_57,Cc1n[nH]c2cc(F)c(-c3ccc4c(O[C@@H]5C[C@@H](C)N(C(=O)[C@@H]6C[C@H]7C(=O)N(Cc8cc9c(cc8F)OCCO9)C(=O)N7C6=O)C5)ncnc4n3)cc12,-10.7,
1_58,O=C(c1ccc2c(Nc3cc4c(cc3F)OCCO4)nc(-c3ccc4ccccc4c3)nc2c1)N1CCN(c2ccnc3[nH]ccc23)CC1,-9.2,
1_59,Nc1nc(Nc2cccc(O)c2)c2cc(-c3cc4ccccc4c(Nc4cccc(O)c4)n3)ccc2n1,-9.6,
1_60,O=C1NCc2cc(-c3cccc4[nH]nc(-c5cc6c(cc5F)OCCO6)c34)cc(-c3n[nH]c4ccccc34)c21,-8.6,
1_61,Nc1nc(N)c2cc(-c3cc(N4C(=O)C5CCN(C6CC7CCC6C(NC(=O)c6ccc8[nH]ncc8c6)C7)C5C4=O)c4ccc(F)cc4c3)ccc2n1,-9.8,
1_62,O=C1NCC2(CC(c3cc(-c4cc5c(cc4F)OCCO5)cc4[nH]ccc34)N(S(=O)(=O)c3ccc4ccccc4c3)C2)C(=O)N1,-10.1,
1_63,c1ccc2c(Nc3ccc4c(c3)OCCO4)nc(-c3ccc4c(c3)OCCO4)nc2c1,-9.3,
1_64,O=C1CCC(C(=O)N2CCN(C(=O)c3ccc4c(NC(=O)c5ccc6c(c5)[nH]c5ccc(-c7ccc8c(c7)OCO8)cc56)cccc4c3)CC2)C(=O)N1,-7.6,
1_65,O=C(CN1C(=O)C2Cc3c([nH]c4ccccc34)CN2C1=O)N1CCN(c2nc3ccccc3c3ccccc23)CC1,-9.4,
1_66,Cc1ccc2c(N3CCN(C(=O)[C@H]4Oc5c(F)cc(F)cc5Oc5cc6c(cc54)OCO6)CC3)nc(N3C[C@@H]4C[C@@H](C)C[C@@H]43)nc2n1,-10.5,
1_67,O=C1Cc2ccccc2CN1C1CCN(C(=O)C2(O)c3cc4ccccc4cc3CCN2C(=O)C2Cc3ccccc3C2)CC1,-9.7,
1_68,O=C(Nc1cccc2ccccc12)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H]1CN2C(=O)N[C@@H](c3cc4c(cc3F)OCCO4)[C@@H]2C(=O)N1c1nc2ccc(Br)cc2o1,-9.0,
1_69,CN1CCN(C(=O)c2ccc3c(Nc4cc5c(cc4F)OCCO5)cc(-c4ccc5ccccc5c4)nc3c2)CC1,-10.8,
1_70,c1cc(-c2cc(Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)c3ccccc3n2)cc(-c2nc3ccccc3[nH]2)c1,-9.7,
1_71,Nc1nc(Nc2cc3c(cc2Cl)OCCO3)cc(N2CCC3(CC2)NC(=O)N(c2ccc4ccccc4c2)C3=O)n1,-9.9,
1_72,c1ccc2[nH]c(-c3n[nH]c4ccc(-c5c(-c6c[nH]c7ccccc67)[nH]c6ccccc56)cc34)nc2c1,-10.0,
1_73,Nc1nc(Nc2nc3ccc(F)cc3cc2C(=O)N2CCN(c3cnc4ccc(F)cc4n3)CC2)cc2ccccc12,-9.5,
1_74,Nc1nc(Nc2cc3c(cc2F)OCCO3)c2cc(-c3cc(F)cc(C(=O)N4CCC5(C4)OCCO5)c3)ccc2n1,-10.9,
