category,accuracy,std_error
MMLU,0.6341,0.0038
Humanities,0.5722,0.0067
Formal Logic,0.4286,0.0443
High School European History,0.7515,0.0337
High School Us History,0.8235,0.0268
High School World History,0.827,0.0246
International Law,0.8099,0.0358
Jurisprudence,0.7222,0.0433
Logical Fallacies,0.7791,0.0326
Moral Disputes,0.7197,0.0242
Moral Scenarios,0.2771,0.015
Philosophy,0.7074,0.0258
Prehistory,0.7377,0.0245
Professional Law,0.4876,0.0128
World Religions,0.8363,0.0284
Other,0.7084,0.0078
Business Ethics,0.6,0.0492
Clinical Knowledge,0.7245,0.0275
College Medicine,0.6127,0.0371
Global Facts,0.3,0.0461
Human Aging,0.6502,0.032
Management,0.835,0.0368
Marketing,0.8803,0.0213
Medical Genetics,0.84,0.0368
Miscellaneous,0.8199,0.0137
Nutrition,0.7582,0.0245
Professional Accounting,0.4752,0.0298
Professional Medicine,0.7206,0.0273
Virology,0.5301,0.0389
Social Sciences,0.742,0.0077
Econometrics,0.4649,0.0469
High School Geography,0.7778,0.0296
High School Government And Politics,0.8601,0.025
High School Macroeconomics,0.6385,0.0244
High School Microeconomics,0.7017,0.0297
High School Psychology,0.8367,0.0158
Human Sexuality,0.7863,0.036
Professional Psychology,0.6928,0.0187
Public Relations,0.6727,0.0449
Security Studies,0.7388,0.0281
Sociology,0.8408,0.0259
Us Foreign Policy,0.87,0.0338
STEM,0.548,0.0085
Abstract Algebra,0.35,0.0479
Anatomy,0.6667,0.0407
Astronomy,0.7171,0.0367
College Biology,0.7847,0.0344
College Chemistry,0.44,0.0499
College Computer Science,0.55,0.05
College Mathematics,0.4,0.0492
College Physics,0.3824,0.0484
Computer Security,0.8,0.0402
Conceptual Physics,0.5319,0.0326
Electrical Engineering,0.5931,0.0409
Elementary Mathematics,0.4497,0.0256
High School Biology,0.7581,0.0244
High School Chemistry,0.532,0.0351
High School Computer Science,0.65,0.0479
High School Mathematics,0.4074,0.03
High School Physics,0.4106,0.0402
High School Statistics,0.5417,0.034
Machine Learning,0.4018,0.0465
