ligand_names,smiles,vina_score,vina_path
1_0,Fc1cc(-c2ccc3[nH]ncc3c2)cc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,-10.4,
1_1,Nc1nc(N)c2cc(Nc3nc(-c4ccc5ccc(F)cc5c4)nc4ccccc34)ccc2n1,-10.3,
1_2,CC1CN(C(=O)c2cccc(Nc3nc(N)nc4ccc(Nc5nc(C6CCOC6)cc6ccccc56)cc34)c2)C(C)O1,-10.2,
1_3,O=C1NC(c2ccc3nc(-c4cc5c(cc4F)OCO5)cc(-c4ccc5c(c4)OCCO5)c3c2)Nc2ccccc21,,
1_4,CN1CC(C(=O)Nc2ccc3c(c2)N(C(=O)c2ccc4c(c2)oc2ccccc24)C2C(O3)C(=O)NC2c2cccc3ccccc23)CC1=O,-9.3,
1_5,CC1C(=O)NC2CCCC2N1C(=O)c1cccc(Nc2nc(N)nc3ccc(-c4ccc5[nH]ncc5c4)cc23)c1,-11.0,
1_6,CC1(N2CCC2c2cc(F)cc(-c3cc4ccc(F)cc4nc3Nc3cc4c(N5CCOCC5F)nc(N)nc4cc3F)c2)CNC(=O)C1,-11.4,
1_7,Nc1nc(N)c2cc(Nc3nc4cc(F)ccc4cc3-c3cc(F)cc(-c4ccc5[nH]nc(N)c5c4)c3)c(F)cc2n1,-11.4,
1_8,C[C@@H]1CN(c2nc(N)nc3cc(F)c(Nc4nc(-c5ccc6[nH]nc(C7CCOCC7)c6c5)nc5ccccc45)cc23)C[C@@H](C)O1,-10.5,
1_9,CC1(c2cccc(Nc3nc(-c4nc5ccccc5nc4N)nc4ccccc34)c2)NC(=O)NC1=O,-9.8,
1_10,Cc1n[nH]c2ccc(-c3nc(Nc4cc5c(N6C[C@@H](C)O[C@H](C)C6)nc(N)nc5cc4F)c4ccccc4n3)cc12,-10.3,
1_11,O=C(c1cc(F)cc(-c2ccc3ncnc(Nc4cc5c(-c6ccc7[nH]ncc7c6)n[nH]c5cc4F)c3c2)c1)N1CCC2(CC1)OCCO2,-11.6,
1_12,CC1CN(C(=O)c2cccc(Nc3nc(N)nc4ccc(Nc5nc(N6CC(C)OC6C)nc6ccccc56)cc34)c2)C(C)O1,-10.4,
1_13,O=C1NC(=O)C2(CCCC2)N1C(=O)c1c(-c2ccc3[nH]nc(-c4ccc5ccccc5c4)c3c2)[nH]c2ccccc12,-9.3,
1_14,Nc1cc(-c2n[nH]c3ccc(-c4ccc5nc(N)nc(Nc6cc7c(cc6F)OCCO7)c5c4)cc23)ccn1,-10.5,
1_15,Nc1nc(Nc2cc3c(cc2F)OCCO3)c2cc(-c3ccc4[nH]nc(N)c4c3)ccc2n1,-11.0,
1_16,Nc1nc(N)c2cc(Nc3nc(-c4cc(F)c5c(c4)C(=O)NC54CCCC(F)C4)nc4ccccc34)c(F)cc2n1,,
1_17,Nc1cncc(-c2n[nH]c3ccc(Nc4nc(N)nc5ccc(-c6ccc7c(c6)OCCO7)cc45)cc23)c1,-10.4,
1_19,CC1c2ccccc2CN1C(=O)c1cccc(Nc2nc(Nc3ccc4nc(N)nc(N)c4c3)c3ccccc3n2)c1,-10.3,
1_20,CC1CCC2C(=O)N(CC3Oc4ccc(C5CC(c6c[nH]c7ccccc67)c6cc7c(cc6N5)OCO7)cc4O3)C(=O)C2C1,-9.9,
1_21,O=C1NC(c2cccc(Nc3nc(-c4ccc5[nH]ncc5c4)nc4ccccc34)c2)Nc2ccccc21,-10.0,
1_22,Nc1nc(N)c2nc(-c3n[nH]c4ccc(-c5cccc(C6Nc7ccccc7-c7cc8c(cc76)OCO8)c5)cc34)[nH]c2n1,-12.2,
