ligand_names,smiles,vina_score,vina_path,score,adjusted_score
1_0,Nc1nc(Nc2cccc(C(=O)N3CC4CC(F)(F)CC4C3O)c2)c2cc(-c3ccc4[nH]ncc4c3)ccc2n1,-10.8,,-10.8,-10.7
1_1,O=C1NC(=O)C(c2ccc3[nH]nc(C(=O)N4C(=O)NC5(CCOCC5)c5cc6ccccc6nc54)c3c2)(C(F)F)N1,-9.2,,-9.2,-9.2
1_2,CC1(N2C(=O)N(c3cc(-c4cc5[nH]ccc5cc4F)cc4[nH]ncc34)C(=O)C23CCC3)C(=O)NC(=O)NC1=O,-10.3,,-10.3,-10.3
1_3,C[C@H]1CN(c2nc(N)nc3cc(F)c(Nc4nc(-c5ccc6[nH]ncc6c5)nc5cc(C6(C)CC6)ccc45)cc23)C[C@@H](C)O1,,,0.0,0.0
1_4,C[C@]1(O)CCN(c2nc(N3CC(N4C(=O)C[C@@H]5c6cc7c(cc6[C@H]4C(=O)N5c4ccc5c(c4)OCCO5)OCO7)C3)nc3ccccc23)C1,-10.5,,-10.5,-10.5
1_5,Nc1nc(NC2C=C3OC(c4ccc5c(c4)OCO5)C(c4ccc5c(c4)OCO5)C3C(=O)C2)nc2ccccc12,-10.2,,-10.2,-10.2
1_6,O=C1NC(=O)[C@]2(CCN(C(=O)[C@@H]3CN(C(=O)C4(c5ccc6ccccc6c5)CCC4)CC(=O)N3C(=O)c3ccc4ccccc4c3)C2)N1,-11.3,,-11.3,-11.3
1_7,Nc1ncnc2[nH]c(-c3n[nH]c4ccc(-c5ccc6[nH]nc(-c7cc8c(cc7F)OCCO8)c6c5)cc34)cc12,-10.1,,-10.1,-10.1
1_8,Nc1nc(N)c2cc(Nc3nc(Nc4cc5ccccc5cc4F)c4ccccc4n3)c(F)cc2n1,-11.3,,-11.3,-11.25
1_9,NC(=O)c1cccc(Nc2nc(N)nc3cc(F)c(Nc4nc(C5CCOCC5)cc5ccccc45)cc23)c1,-10.0,,-10.0,-10.0
1_10,C[C@@H]1CN(c2cc(-c3nc(Nc4cc5c(cc4F)OCCO5)c4ccc(F)cc4n3)c3ncc(F)cc3n2)C[C@@H](C)O1,-11.9,,-11.9,-11.9
1_11,Cc1ccc2c(Nc3nc(C)cc4ccc(C)cc34)nc(Nc3ccc4ccccc4c3)nc2c1,-9.4,,-9.4,-9.4
1_12,Nc1nc(N)c2cc(Oc3ccc4c(N5CCOCC5)nc(-c5ccc6[nH]nc(N)c6c5)cc4c3)c(F)cc2n1,-10.0,,-10.0,-10.0
1_13,Cc1cc(Nc2nc(Nc3nc(-c4cc5c(cc4F)OCCO5)nc4cc(N)c(F)cc34)c3ccccc3n2)n(C)n1,-10.3,,-10.3,-10.3
1_14,C[C@H]1CN(c2nc(Nc3ccc4c(-c5ccc6[nH]ncc6c5)nc(-c5cc6c(cc5F)OCO6)cc4c3)cc(C(N)=O)n2)C[C@@H](C)O1,-10.2,,-10.2,-10.2
1_15,Cc1nc2[nH]ncc2cc1-c1cccc(Nc2nc(Nc3cc4ccccc4cc3F)c3ccccc3n2)c1,,,0.0,0.0
1_16,O=C1CCC(N2C(=O)C3C(=O)N(c4cc5c(cc4F)OCCO5)C(c4ccc5[nH]c6ccccc6c5c4)C3C2=O)C(=O)N1,-10.1,,-10.1,-10.1
1_17,CC1(c2cccc(-c3nc(-c4ccc5[nH]ncc5c4)cnc3-c3cc4c(N)n[nH]c4cc3F)c2)NC(=O)NC1=O,-9.7,,-9.7,-9.7
1_18,CC1=C(O)CC(c2ccc3c(N4CC[C@@H](Oc5nc(N6C[C@@H](C)O[C@H](C)C6)c6ccccc6n5)C4)nc(C4(C)CC4)nc3c2)=CC1=O,-10.2,,-10.2,-10.2
1_19,Nc1nc(-c2cc(F)cc(-c3nc(Nc4ccc5[nH]ncc5c4)c4ccccc4n3)c2)nc2ccccc12,-9.9,,-9.9,-9.9
1_20,Nc1nc(Nc2cccc(C(=O)N3CCOCC3)c2)c2cc(Nc3nc(Nc4cccc(F)c4)nc4ccccc34)c(F)cc2n1,-10.2,,-10.2,-10.2
1_21,C[C@H]1CN(c2nc(-c3ccc4[nH]nc(-c5nc(N)nc6[nH]ncc56)c4c3)nc3cc(F)c(-c4ccc5[nH]ncc5c4)cc23)C[C@@H](C)O1,-11.5,,-11.5,-11.5
1_22,Nc1nc(Nc2ccc3[nH]nc(-c4ccc5[nH]nc(-c6ccc7c(c6)OCCO7)c5c4)c3c2)c2ccccc2n1,-10.1,,-10.1,-10.1
1_23,C[C@H]1CN(c2nc(N)c3cc(-c4cc5c(cc4F)OCCO5)cc(Nc4nc(N)c5ccccc5n4)c3n2)C[C@@H](C)O1,-9.0,,-9.0,-9.0
1_24,CC1(C(=O)N2CCC(c3cc4ccc(-c5ccc6nc(N)nc(Nc7cc8c(cc7F)OCCO8)c6c5)cc4[nH]3)CC2)CNC(=O)N1,-10.7,,-10.7,-10.7
1_25,C[C@H]1CC(=O)C(C)(C)C2=C1Nc1cc3c(cc1[C@H]2c1ccc2c(c1)OC[C@H]2NC(=O)c1ccc2c(c1)OCCO2)OCO3,-9.5,,-9.5,-9.5
1_26,Nc1nc(Nc2cccc(F)c2)c2cc(-c3[nH]c4ccccc4c3C(=O)N3CCOCC3)ccc2n1,-9.0,,-9.0,-9.0
1_27,Nc1nc(-c2cc3ccccc3c(Nc3cc(-c4cc5c(cc4F)OCCO5)cc4cnncc34)n2)c2cn[nH]c2n1,-11.0,,-11.0,-11.0
1_28,Fc1cc2nc(Nc3ccc4c(c3)OCO4)nc(Nc3ccc4c(c3)OCCO4)c2cc1C1NC2(F)CCC1C2,-9.8,,-9.8,-9.8
1_29,C[C@]12C(=O)N(c3ccc4[nH]c5ccc(Br)cc5c4c3)C(=O)[C@H]1[C@H]1C(=O)NC(=O)[C@H]1[C@@H]2c1c[nH]c2ccccc12,-9.0,,-9.0,-9.0
1_31,Nc1cc(-c2ccc3[nH]nc(-c4ccc5c(c4)OCCO5)c3c2)cc(-c2ccc3[nH]nc(-c4ccc5[nH]ncc5c4)c3c2)n1,-10.3,,-10.3,-10.3
1_32,Cc1cc(-c2cccc(F)c2)c2c(Nc3cccc(C(=O)N4CNC(=O)C4c4ccc5c(c4)OCCO5)c3)nc(N)nc2n1,-9.8,,-9.8,-9.8
1_33,Cc1nc(Nc2cc3c(N)nc(N)nc3cc2F)c2cc(C(=O)N3CCC4(CC3)CC(C3CCOCC3)O4)ccc2n1,-9.4,,-9.4,-9.4
1_34,Nc1nc(-c2cccc(Nc3nc(-c4cc5c(cc4F)OCCO5)nc4ccccc34)c2)c2c(N)n[nH]c2n1,-10.2,,-10.2,-10.2
1_35,CC(=O)Nc1n[nH]c2nc(N)nc(-c3ccc4cc(-c5cc(F)cc(-c6nc(N)c7ccccc7n6)c5)ccc4n3)c12,-10.9,,-10.9,-10.9
1_36,Cc1cc(C)c(Nc2nc(N)nc3cc(F)c(Nc4c(C(N)=O)cnc5ccccc45)cc23)c(C)c1,-8.3,,-8.3,-8.3
1_37,CC1c2ccccc2C=CN1C(=O)c1ccc2c(c1)OC1(C)C(=O)N(C3CC(C)N(C(=O)Cc4ccc5ccccc5c4)C3)C(=O)N21,-9.1,,-9.1,-9.1
1_38,CC(C)(C)[C@@H](NC(=O)c1ccc2ccccc2c1)C(=O)N1C[C@@]2(C=Nc3ccc(Br)cc32)C[C@H]1C(=O)N[C@@H]1C(=O)N2C(=O)CS[C@@H]12,-7.8,,-7.8,-7.8
1_39,Cc1cc(Nc2ccc3nc(Nc4cccc(C5(C)NC(=O)NC5=O)c4)nc(-c4cc5c(cc4F)OCO5)c3c2)nc(N)n1,-9.1,,-9.1,-9.1
1_40,CC(=O)Nc1n[nH]c2ccc(-c3n[nH]c4ccc(-c5ccc6[nH]c(C(=O)N7C[C@@H](C)O[C@H](C)C7)cc6c5)cc34)cc12,-10.5,,-10.5,-10.5
1_41,Nc1nc(-c2[nH]c3ccccc3c2C(=O)N2CCC(N3C(=O)c4ccccc4C3=O)CC2)nc2ccccc12,-8.8,,-8.8,-8.8
1_42,Cc1cc2ccccc2nc1-c1nc(Nc2cc3c(N)n[nH]c3cc2F)c2ccccc2n1,-9.4,,-9.4,-9.4
1_43,Nc1nc(N)c2cc(Nc3nc(Oc4ccc5ccccc5c4)nc4ccccc34)ccc2n1,-10.7,,-10.7,-10.7
1_44,Nc1nc(N)c2c(-c3ccc4c(c3)OCO4)cc(-c3cc4c(cc3F)OCCO4)nc2n1,-10.0,,-10.0,-10.0
1_45,Nc1nc(N)c2cc(-c3cccc(Nc4nc(N5CCCC(F)C5)nc5ccccc45)c3)ccc2n1,-9.8,,-9.8,-9.8
1_46,CC1(c2ccc3c(Nc4cc5ccccc5cc4F)nc(N4CC5(CCOCC5)C4=O)nc3c2)CNC(=O)C1,-9.3,,-9.3,-9.3
1_47,Cc1cc(Nc2nc(N)nc3ccc(C4=CC[C@@H](C)O4)cc23)c2nc(N)nc(N3C[C@@H](C)O[C@H](C)C3)c2c1,-9.3,,-9.3,-9.3
1_48,C[C@@H]1CN(C(=O)c2cccc(Nc3nc(Nc4ccc5nc[nH]c5c4)nc4cc(-c5cc6c(cc5F)OCO6)ccc34)c2)C[C@@H](C)O1,-10.1,,-10.1,-10.1
1_49,Nc1nc(Nc2cc3ccccc3cc2F)c2cc(C(=O)N3CCN(C(=O)C4(c5ccc6ccccc6c5)N=C(O)NC4=O)CC3)ccc2n1,-11.7,,-11.7,-11.7
1_50,O=C(Nc1ccc2c(Nc3ncnc4cc(O)c(F)cc34)nc(-c3cc4c(cc3F)OCO4)cc2c1)N1CCOCC1,-9.4,,-9.4,-9.4
1_51,Fc1cc(-c2ccc3[nH]ccc3c2)cc(-c2ccc3[nH]nc(-c4c[nH]c5ccccc45)c3c2)c1,-10.1,,-10.1,-10.1
1_52,Cc1c(-c2ccc3c(c2)OCCO3)c(-c2cc3c(cc2F)OCO3)nc2ccc(Oc3nc(N)nc(N)n3)cc12,-8.8,,-8.8,-8.8
1_53,Nc1ncc(-c2n[nH]c3ccc(-c4ccc5nc(N)nc(Nc6cc7c(cc6F)OCCO7)c5c4)cc23)cn1,-10.8,,-10.8,-10.8
1_54,Nc1nc(N)c2cc(-c3cccc(Nc4nc(Nc5cc6c(cc5F)OCCO6)c5ccccc5n4)c3)ccc2n1,-10.1,,-10.1,-10.1
1_55,Nc1nc(Nc2cccc(C(=O)N3CCC4C(=O)NCC43)c2)c2cc(-c3ccc4[nH]ncc4c3)ccc2n1,-10.6,,-10.6,-10.6
1_56,Nc1nc(N)c2cc(C(=O)N3CN(c4ccc5nc(C(F)(F)F)ccc5c4)C4(C3)CC3(CCCC3)NC4=O)ccc2n1,-10.0,,-10.0,-10.0
1_57,CC1(C)[C@@H]2C[C@@]1(O)CN2c1nc(Nc2ccc3[nH]nc(-c4ccc5[nH]nc(-c6ccc7[nH]ncc7c6)c5c4)c3c2)c2ccccc2n1,-10.3,,-10.3,-10.3
1_58,Nc1nc(Nc2cc3c(cc2F)OCCO3)c2cc(-c3cc(F)c(F)c(C(=O)N4CCOCC4)c3)ccc2n1,-10.4,,-10.4,-10.4
1_59,CC(=O)N1CC(N2C(=O)c3cc(-c4cc(-c5ccc6cc[nH]c6c5)cc5c(N)nc(N)nc45)cc(F)c3C2=O)CC1C,-10.4,,-10.4,-10.4
1_60,Cc1cc2cc3c(cc2o1)C(N1CC2(CC1=O)C(=O)N(c1ccc4ccccc4c1)C(=O)N2C(=O)N(C)c1ccc2c(c1)OCO2)CN(C(=O)C(=O)NC1CC(C)(C)OC(C)(C)C1)CC3,-9.6,,-9.6,-9.6
1_61,Fc1cc2c(cc1Nc1cc(-c3cnc4cc[nH]c4c3)nc3ccccc13)OCCO2,-9.0,,-9.0,-9.0
1_62,Cc1cc(-c2ccc3nc(N)nc(N)c3c2)cc(C2Nc3ccccc3C(=O)N2C(=O)c2ccc3c(c2)OCCO3)c1,-9.9,,-9.9,-9.9
1_63,c1ccc2c(c1)[nH]c1c(-c3cc4c(cc3-c3ccc5c(c3)OCO5)OCO4)cc(-c3ccc4[nH]ncc4c3)cc12,-9.6,,-9.6,-9.6
1_65,Nc1nc(N)c2cc(-c3cccc(Nc4nc(-c5ccc6c(c5)OCCO6)nc5ccccc45)c3)ccc2n1,-10.2,,-10.2,-10.35
1_66,C[C@@H]1CN(c2nc(O[C@@H]3CCN(C(=O)c4ccc5[nH]c6ccc(C(F)(F)F)cc6c5c4)C3)nc3ccccc23)C[C@@H](C)O1,-9.0,,-9.0,-9.0
1_67,Nc1nc(Nc2cccc(C(=O)N3CCOCC3)c2)c2cc(-c3cc(N)c4ccccc4n3)ccc2n1,-10.2,,-10.2,-10.2
1_68,Fc1ccc2c(Nc3cccc4cc(-c5cnc6[nH]ncc6c5)cnc34)nc(N3CC4CC(F)CC43)nc2c1,-9.6,,-9.6,-9.6
1_69,Oc1ccc2cc(-c3cc(-c4cc(F)cc(-c5cc6ccccc6[nH]5)c4)c4[nH]ncc4c3)cnc2c1,-9.5,,-9.5,-9.5
1_70,Cc1cccc(Nc2nc(Nc3cc(-c4ccc5cc[nH]c5c4)nc4ccccc34)nc(N3C[C@H](C)O[C@H](C)C3)n2)c1,-9.6,,-9.6,-9.6
1_71,Fc1ccc2c(-c3ccc4[nH]nc(-c5cccc6[nH]ncc56)c4c3)cc(-c3ccc4[nH]nc(-c5n[nH]c6ccccc56)c4c3)nc2c1,-11.6,,-11.6,-11.6
1_72,Nc1nc(O[C@@H]2CCN(C(=O)c3cccc(Nc4nc(N)nc5cccc(OC6CC(F)(F)C6)c45)c3)C2)c2ccccc2n1,-9.4,,-9.4,-9.4
1_73,CC(=O)N1Cc2cc(C(F)(F)F)cc(Nc3nc(N)nc4ccc(-c5ccc6[nH]ncc6c5)cc34)c2C1,-9.4,,-9.4,-9.4
1_74,Nc1nc(N)c2cc(-c3n[nH]c4ccc(-c5cc(-c6cc7c(cc6F)OCO7)nc6[nH]ccc56)cc34)ccc2n1,-11.2,,-11.2,-11.2
1_75,O=C1OC2CCCCC2N1C(=O)c1cccc(Nc2ncnc3ccc(-c4ccc5[nH]nc(-n6cccn6)c5c4)cc23)c1,-11.4,,-11.4,-11.4
1_76,CC1(C(=O)N2C(=O)CCC23CCN(C(=O)c2cc(-c4cc5ccccc5cc4F)nc4cc(F)ccc24)C3)CNC(=O)N1,-10.1,,-10.1,-10.1
1_77,Nc1n[nH]c2ccc(-c3ccc4[nH]nc(-c5cc6c(-c7ccc8[nH]nc(N)c8c7)n[nH]c6cc5F)c4c3)cc12,-10.8,,-10.8,-10.8
1_78,Nc1nc(N)c2cc(Nc3nc(-c4cc5c(cc4F)OCCO5)cc4ccccc34)c(F)cc2n1,-9.6,,-9.6,-9.8
1_79,Cc1cccc2[nH]c(-c3cccc(Nc4nc(-c5cc6c(cc5F)OCCO6)nc5cc(F)ccc45)c3)nc12,-10.3,,-10.3,-10.3
1_80,NC(=O)c1cccc(Nc2nc(Nc3cccc(C(=O)N4CCOCC4)c3)nc3cc(-c4cc5c(cc4F)OCO5)ccc23)c1,-9.8,,-9.8,-9.8
1_81,C[C@H]1CN(c2nc(-c3ccc4[nH]ncc4c3)nc3cc(-c4ccc5nc(N)nc(N)c5c4)ccc23)C[C@@H](C)O1,-9.8,,-9.8,-9.8
1_82,Nc1nc(N)c2c(-c3cccc(Nc4nc(Nc5cc6c(cc5F)OCCO6)c5ccccc5n4)c3)n[nH]c2n1,-10.4,,-10.4,-10.4
1_83,CC1CN(C(=O)c2ccc3ccccc3c2)C(C)CN1C(=O)c1cccc(Nc2nc(Nc3ccc4nc(N)nc(N)c4c3)nc3ccccc23)c1,-11.2,,-11.2,-11.2
1_84,C[C@H]1CN(C(=O)c2cccc(Nc3nc(-c4ccc5[nH]ncc5c4)nc4cc(C5CC5)ccc34)c2)C[C@@H](C)O1,-11.0,,-11.0,-11.0
1_85,Cc1cccc(Nc2nc(N)nc3ccc(Nc4nc(Nc5ccc6nc(N)nc(N)c6c5)nc5ccccc45)cc23)c1,-11.5,,-11.5,-11.5
1_86,Nc1nc(Nc2cc3ccccc3cc2F)c2cc(C(=O)N3CCC4(CC3)CCN4C(=O)C3(c4ccc5[nH]ncc5c4)CNC(=O)C3)ccc2n1,-11.0,,-11.0,-11.0
1_87,Nc1[nH]nc2c1cc(-c1ccc3[nH]nc(-c4cc(-c5ccc6[nH]nc(-c7n[nH]c8ccccc78)c6c5)ccn4)c3c1)c1cc[nH]c12,-11.4,,-11.4,-11.4
1_88,O=C1CN(CC2Oc3ccc(-c4ccc5ncnc(Nc6ccc7c(c6)OCCO7)c5c4)cc3O2)C(=O)N1,-10.0,,-10.0,-10.0
1_89,C=C1C[C@@]2(C(=O)NC(=O)N2S(=O)(=O)c2ccc3ccccc3c2)[C@H]2[C@@H]1C[C@@H]1CC(=O)[C@@H]3C=C[C@@H]3[C@@H]12,-7.9,,-7.9,-7.9
1_90,Nc1nc(-c2cc3c(cc2O[C@@H]2CCN(C(=O)[C@@H]4CC[C@@]5(O4)C(=O)Nc4ccc6ccccc6c45)C2)CCC3)c2cn[nH]c2n1,-9.8,,-9.8,-9.8
1_91,Nc1nc(Nc2cccc(C(=O)N3CC4CC(F)(F)CC4C3O)c2)c2cc(-c3ccc4[nH]ncc4c3)ccc2n1,-10.6,,-10.6,-10.7
1_92,CC1CCN(c2nc(Nc3cc4c(N5C[C@@H](C)O[C@H](C)C5)nc(N)nc4cc3F)c3ccccc3n2)CC1,-9.9,,-9.9,-9.9
1_93,C[C@@H]1CN(c2cc3c(Nc4cc5c(cc4F)OCCO5)nc(N)nc3cc2F)c2cc(F)ccc2O1,-9.7,,-9.7,-9.7
1_94,Nc1n[nH]c2cc(F)c(-c3n[nH]c4ccc(-c5ccc6c(c5)OCCO6)cc34)cc12,-10.2,,-10.2,-10.2
1_95,C[C@H]1CN(c2nc(-c3cccc(-c4cc5c(N)nc(N)nc5cc4F)c3)nc3cc(F)c(N4CC[C@H](F)C4)cc23)C[C@@H](C)O1,-10.9,,-10.9,-10.9
1_96,c1nc(Nc2ccc3[nH]nc(-c4ccc5[nH]ncc5c4)c3c2)c2cc(-c3ccc4[nH]ncc4c3)ccc2n1,-11.2,,-11.2,-11.2
1_97,Cc1cc(C)cc(Nc2nc(N)nc3ccc(Nc4nc(N5CC(C)(C)OC5=O)nc5ccccc45)cc23)c1,-9.1,,-9.1,-9.1
1_98,Cc1nc(Nc2cc3[nH]ccc3cc2F)c2cc(O[C@@H]3CCN(C(=O)N4CCC5(CC4)Oc4cc(F)ccc45)C3)c(F)cc2n1,-9.4,,-9.4,-9.4
1_99,CC1(C(=O)Nc2cccc(-c3n[nH]c4ccc(Nc5nc(-c6cc7c(cc6F)OCO7)cc6ccccc56)cc34)c2)CNC(=O)N1,-9.9,,-9.9,-9.9
1_100,Nc1nc(N)c2cc([C@@H]3CN(C4CCOCC4)C[C@@H]3F)c(-c3ccc4[nH]nc(-c5ccc6c(c5)OCO6)c4c3)cc2n1,-9.8,,-9.8,-9.8
1_101,O=C1c2ccccc2NC(c2ccc3cc(C4Nc5ccccc5C(=O)c5c4[nH]c4ccccc54)ccc3c2)c2[nH]c3ccccc3c21,-11.2,,-11.2,-11.2
1_102,Nc1nc(Nc2cccc(C(=O)N3CCC4(CCC45CCC(=O)N5)C3c3n[nH]c4ccccc34)c2)c2cc(F)ccc2n1,-9.9,,-9.9,-9.9
1_103,CN1C(=O)c2ccccc2NC1c1ccc2c(-c3ccc4[nH]ncc4c3)cc(-c3ccc4c(c3)OCO4)nc2c1,-10.8,,-10.8,-10.8
1_104,Nc1nc(Nc2cccc(C(=O)N3C(=O)COc4ccccc43)c2)c2cc(Oc3ccc4ccccc4c3)ccc2n1,-9.4,,-9.4,-9.4
1_105,Cc1cc(-c2ccc3nc(N)nc(N)c3c2)c2nc(-c3cccc(F)c3)nc(N3C[C@H](C)O[C@H](C)C3)c2c1,-8.9,,-8.9,-8.9
1_106,Nc1nc(N)c2cc(Oc3ccc4c(NC(=O)c5ccc6c(c5)OCCO6)c5ccccc5nc4c3)c(F)cc2n1,-10.5,,-10.5,-10.5
1_107,O=C1CC2(CCN(C(=O)C3(c4ccc5ccccc5c4)CCNC3)C2)CN1C(=O)c1nc(-c2ccc3c(c2)OCCO3)c2ccccc2n1,-9.5,,-9.5,-9.5
1_108,Nc1nc(Nc2cc3c(cc2F)OCCO3)c2cc(-c3ccc4c(c3)OCCO4)ccc2n1,-10.2,,-10.2,-10.05
1_109,Cc1n[nH]c2ccc(Nc3nc(Nc4cccc(C(=O)N5CCOCC5)c4)c4cc(Oc5ccc6ccccc6c5)ccc4n3)cc12,-10.8,,-10.8,-10.8
1_110,C[C@@H]1CN(C(=O)c2cccc(Nc3nc(-c4ccc5[nH]ncc5c4)cc(-c4nc5ccccc5nc4N)n3)c2)C[C@@H](C)O1,-10.7,,-10.7,-10.7
1_111,Cc1ccc2c(Nc3cccc4ccccc34)nc(N3CCN(C(=O)C4CC(=O)N(C)C4)CC3)nc2c1,-9.9,,-9.9,-9.9
1_112,COc1cc2cc(C(=O)N3CC(C)N(C(C)C)CC3C)nc(Nc3nc4ccccc4c4ccccc34)c2cc1OC,-8.8,,-8.8,-8.8
1_113,Nc1nc(-c2cc3c(N)n[nH]c3cc2F)nc2cnc(-c3ccnc(N4CCC5(CC4)CC(=O)N(C4CC(F)(F)C4)C5=O)c3)cc12,-9.8,,-9.8,-9.8
1_114,CN(C)[C@@H]1CCN(C(=O)c2ccc3cc(-c4cc5ccc(O)cc5nc4Nc4cc5c(cc4F)OCO5)[nH]c3c2)C1,-9.3,,-9.3,-9.3
1_115,Cc1ccc2c(Nc3cccc(C(=O)N4c5ccccc5OCC4C)c3)nc(Nc3ccc4[nH]ncc4c3)nc2c1,-10.5,,-10.5,-10.5
1_116,Nc1nc(Nc2cc(-c3ccc4ncnc(Nc5cc6c(cc5F)OCCO6)c4c3)ccn2)c2ccccc2n1,-10.9,,-10.9,-10.9
1_117,O=C(c1ccc2c(c1)OCCO2)N1C(=O)N(c2ccc3ccccc3c2)C(=O)C12CCN(Cc1ccc3c(c1)OCO3)CC2,-9.5,,-9.5,-9.5
1_118,CC(=O)Nc1n[nH]c2ccc(-c3n[nH]c4ccc(-c5ccc6[nH]c(C(=O)N7CCOCC7)cc6c5)cc34)cc12,-10.2,,-10.2,-10.2
1_119,C[C@@H]1CN(c2nc(-c3ccc4[nH]nc(-c5ccc6[nH]ncc6c5)c4c3)nc3ccc(C(=O)Nc4cccc5[nH]ncc45)cc23)C[C@@H](C)O1,-10.6,,-10.6,-10.6
1_120,Oc1cc(-c2cc3ccccc3nc2Nc2cccc(-c3nc4ccccc4[nH]3)c2)cc2ccccc12,-10.6,,-10.6,-10.6
1_121,Nc1nc(Nc2ccc3[nH]nc(N)c3c2)c2cc(-c3nc(N)c4cc(F)ccc4n3)ccc2n1,-10.5,,-10.5,-10.5
1_122,Nc1nc(Nc2cccc3ccccc23)c2cc(-c3ccc4c(c3)OCCO4)ccc2n1,-10.3,,-10.3,-10.3
