ligand_names,smiles,vina_score,vina_path
1_0,C[C@H]1CN(c2cc(F)cc(-c3nc(Nc4cc5c(N)nc(N)nc5cc4F)c4ccccc4n3)c2)C[C@@H](C)O1,-9.9,
1_1,Cc1cc(-c2nc(-c3cc(F)cc(N4CC5(CCN(C6(C)CNC(=O)C6)C5=O)C4)c3)cc3c(N)nc(N)nc23)c2cc[nH]c2n1,-9.9,
1_2,Cc1cc2cc3c(cc2c(N2C(=O)OC[C@H]2C)n1)[C@@]1(C[C@H]2C(=O)N([C@@H]4CCC(=O)NC4=O)c4ccc5[nH]ncc5c4CN2C(=O)[C@H]1N)c1cc2ccccc2cc1CC3,,
1_3,CC1(c2cn(-c3n[nH]c4ccc(-c5ccc6nc(N)nc(Nc7cc8c(cc7F)OCCO8)c6c5)cc34)nn2)NC(=O)NC1=O,-10.9,
1_4,Cc1nc(-c2nc(Nc3cc4c(N5CCOCC5)nc(N)nc4cc3F)c3ccccc3n2)cc2cc(F)ccc12,-10.6,
1_5,Nc1nc(Nc2cccc(C(=O)N3CC4CC(F)CC4C3c3cc4c(cc3F)OCCO4)c2)c2cc(F)ccc2n1,-9.5,
1_6,C[C@@H]1CN(c2nc(N)nc(Nc3cc(-c4cc(-c5cc6c(cc5F)OCO6)cc5cn[nH]c45)nc4ccccc34)n2)C[C@@H](C)O1,-10.9,
1_7,Nc1ncnc2c(F)cc(-c3ccc4ncnc(Nc5cc6c(cc5F)OCCO6)c4c3)cc12,-10.5,
1_8,Nc1nc(N)c2cc(Nc3nc4cc(F)ccc4cc3-c3cc4[nH]ncc4cc3N3C(=O)CC4CC(=O)NC(=O)C43)c(F)cc2n1,-10.0,
1_9,Cc1ccc2[nH]nc(Nc3nc(Nc4ccc5c(c4)OCCO5)c4cc(F)ccc4n3)c2c1,-9.2,
1_10,Nc1nc(Nc2ccc3[nH]ncc3c2)c2cc(-c3ccc4ccccc4c3)ccc2n1,-10.1,
1_11,C[C@@H]1CN(c2cc(-c3nc(N4C[C@@H](C)O[C@H](C)C4)c4cc(-c5cc(F)c6c(c5)OCO6)c(F)cc4n3)nc(N)n2)C[C@@H](C)O1,-10.1,
1_12,Oc1ccc2cc(-c3cc(-c4cc5c(cc4O)OCO5)cc4c3[nH]c3ccccc34)cc(O)c2c1,-9.5,
1_13,Cn1cc(Nc2cc3[nH]c(-c4ccc5ncnc(Nc6cc7c(cc6F)OCCO7)c5c4)cc3cn2)cn1,-9.2,
1_14,O=C1NC(c2cccc(Nc3nc(-c4ccc5[nH]ncc5c4)nc4ccccc34)c2)Nc2ccccc21,-10.5,
1_15,CC1(C(=O)N2CCN(c3ccc4nc(N)nc(Nc5cc6c(-c7nc(N)nc8[nH]ncc78)coc6cc5F)c4c3)CC2)CC1,-9.2,
1_16,C[C@]1(CO)COc2ccc(-c3cccc([C@H]4Nc5cc6c(cc5C5=C4C(=O)NC5=O)[C@](C)(CO)CO6)c3)cc2C1,-8.7,
1_17,O=C(Nc1ccc2c(c1)OCCO2)c1cccc(Nc2nccc3cc4c(cc23)-c2cc3c(cc2C4)OCO3)c1,-9.2,
1_19,O=C1CCC(C2=C3C(=O)NCC3N(S(=O)(=O)c3ccc4ccccc4c3)c3[nH]c4ccc(Br)cc4c32)C(=O)N1,-8.4,
1_20,Nc1cc2c(cn1)ncn2-c1n[nH]c2ccc(-c3ccc4nc(N)nc(Nc5cc6c(cc5F)OCCO6)c4c3)cc12,-11.4,
1_21,C[C@H]1CN(c2ccc3cc(-c4cc(Nc5cc6c(cc5F)OCCO6)c5ccccc5n4)ccc3n2)C[C@](C)(N)O1,-9.1,
1_22,CC1(C)[C@H]2C[C@]1(O)CN2c1nc(Nc2nc(N)nc3[nH]ncc23)c2cc(-c3cc4c(cc3F)OCCO4)ccc2n1,-9.0,
1_23,C[C@@H]1C[C@@H](Oc2cccc3nc(N)nc(N)c23)CN1C(=O)[C@H]1C[C@H](c2ccc3[nH]c4ccccc4c3c2)Nc2c(F)cccc21,-10.0,
1_24,C[C@@H]1CN(C(=O)c2cccc(Nc3ncnc4ccc(-c5cc6ccccc6cc5F)cc34)c2)C[C@@H](C)O1,-10.6,
1_25,Nc1cc(N2CCOCC2=O)cc(Nc2nc(-c3nc(-c4cc5c(cc4F)OCCO5)cc4ccccc34)nc3ccccc23)n1,-11.1,
1_26,CC1=CC(C)(C)C=C(c2ccc3nc(N)nc(Nc4cc5c(N6C[C@@H](C)O[C@H](C)C6)nc(N)nc5cc4F)c3c2)C1,-9.0,
1_27,CC12CCC(N1)c1c(-c3cc4ccccc4nc3Nc3ccc4[nH]ncc4c3)cc(-c3cc4ccccc4[nH]3)nc1N2,-9.7,
1_28,Nc1nc(Nc2cccc3nc(N)nc(N)c23)c2cc(C(=O)N3CCC4(CC3)CC(F)CO4)c(F)cc2n1,-9.8,
1_29,CC1(c2cccc(Nc3nc4ccccc4cc3-c3cc(F)cc(-c4ccc5[nH]nc(N)c5c4)c3)c2)NC(=O)NC1=O,-11.4,
1_30,Nc1nc(Nc2cc(C(=O)N3Cc4ccccc4C34CCOCC4)nc3ccccc23)nc2ccccc12,-10.1,
1_31,C[C@@H]1CN(C(=O)c2cccc(Nc3nc4nc(N)nc(N)c4cc3-c3ccc4ccccc4c3)c2)C[C@@H](C)O1,-10.6,
1_32,c1cc(Nc2cccc3c[nH]cc23)cc(-c2cnc3[nH]nc(-c4ccc5c(c4)OCCO5)c3c2)c1,-9.8,
1_33,CC1COc2ccccc2N1c1nc(N)nc2ccc(Nc3nc(N)c4c(ccc5ccccc54)n3)cc12,-9.6,
1_34,O=C(c1cc(-c2ccc3c(c2)OCCO3)nc2ccccc12)N1CC2(CCN(C(=O)C3(c4ccc5ccccc5c4)CC4(CC4)C3)CC2)C1=O,-8.8,
1_35,C[C@@H]1CN(c2nc(-c3ccc4[nH]nc(-c5nc(N)nc6[nH]ncc56)c4c3)nc3ccc(Nc4nc(N)nc5ccccc45)cc23)C[C@@H](C)O1,-11.3,
1_36,C[C@@H]1CN(C(=O)c2ccc3cc(-c4cc5c(cc4F)OCCO5)nc(-c4nc(N)c5ccccc5n4)c3c2)C[C@@H](C)O1,-10.1,
1_37,CC1(c2cccc(Nc3nc4ccccc4cc3-c3cc(C4(C)NC(=O)NC4=O)c4ccccc4c3)c2)NC(=O)NC1=O,-11.6,
1_38,Nc1nc(N)c2cc(Nc3nc4cc(F)ccc4cc3-c3cc(F)cc(-c4ccc5[nH]ncc5c4)c3)c(F)cc2n1,-11.0,
1_39,C[C@H]1CN(c2nc(-c3ccc4nc(-c5cc6cn[nH]c6cc5F)nc(N5C[C@@H](C)O[C@H](C)C5)c4c3)nc3ccc(F)cc23)C[C@@H](C)O1,-10.0,
1_40,CC1(c2cc(Nc3nc(-c4cc(F)c5ccccc5c4)nc4ccccc34)c3[nH]nc(-c4ccc5[nH]ncc5c4)c3c2)CCC(=O)N1,-10.8,
1_41,Nc1nc(-c2cc(F)cc(-c3ccc4[nH]nc(-c5ccc6c(c5)OCCO6)c4c3)c2)nc2ccccc12,-10.6,
