smiles,docking,drug_likeliness,names
O=C(c1ccc(F)cc1)N1CCCC(c2cc[nH]n2)C1,-6.7,3.66251844256936,21_0
CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2cccc3ccccc23)cc1,-8.4,3.633366568248087,21_1
O=C(Nc1cccc(-c2ccnc3ccc(-c4ccccc4)cc23)c1)Nc1cccc(C(F)(F)F)c1,-9.2,3.245237788706932,21_2
O=C(c1ccccc1)N(C(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1)c1cccnc1,-8.1,3.4879969601840286,21_3
O=C(NCO)c1ccccc1Nc1ccc2c(C=Cc3ccccn3)[nH]nc2c1,-7.5,3.4726724992556157,21_4
CN1CCN(c2ccc(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)cc2)CC1,-7.6,3.6775084311060864,21_5
CC=C1C=CC(C(=O)Oc2ccc(-c3ccccc3COc3cccc(-c4cccs4)c3)cc2)=C1C,-7.7,3.2219044111766966,21_6
O=C(CNc1nc2ccccc2c2nc3ccccc3n12)Nc1cccc2ncccc12,-8.6,3.5531884986847126,21_7
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC(Cc3ccccc3)CC2)CC1,-7.6,3.6200172349240805,21_8
COc1ncccc1-c1nc(Nc2cccnc2)c2ccccc2n1,-7.2,3.741465645401055,21_9
O=C1C2C[C@@H](OS(=O)(=O)O)[C@@H](c3ccccc3)N2C(=O)c2ccccc2N1Cc1cccc2ccccc12,-8.3,2.5046968120019217,21_10
O=C(NC1c2ccccc2C[C@H]1O)C(Cc1ccccc1)c1ccccc1,-7.9,3.5961760204651028,21_11
O=C(C=C1C=NC(=NC=Cc2cc3cc4ccccc4cc3c3ccccc23)C1)c1ccccc1,-8.2,2.888506028331067,21_12
O=c1cc(-c2cccc(OC(F)(F)F)c2)ccn1-c1cccc(-c2ncnc3[nH]c(-c4ccccc4)cc23)c1,-8.1,3.363346694979006,21_13
O=C(O)c1cccc(-n2nc(Cc3c(Cl)cccc3Cl)c3ccccc3c2=O)c1,-7.3,3.7202365859997304,21_14
Cc1cc(C(=O)OCC(=O)Nc2cccc(F)c2)ccc1[N+](=O)[O-],-6.3,3.59164110002484,21_15
O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(-n2c(O)c3c(c2O)C2C=CC3C2)cc1,-8.2,3.4814257165852087,21_16
COc1ccc(CCc2cncc(-c3cccc(NS(=O)(=O)c4ccc(N)s4)c3)n2)cc1,-6.4,3.570760746616825,21_17
COc1ccc(C(C)(C)C)cc1-c1cc(F)cc(C(CC(=O)O)c2ncc(C)s2)c1,-7.3,3.7283248581098882,21_18
C[C@]12CC[C@@H]3c4cc5[nH]c(=O)sc5cc4CC[C@H]3[C@@H]1CC[C@@H]2c1ccc2ccncc2c1,-8.0,3.274631470075726,21_19
C[C@]12CC[C@H](OC(=O)c3ccc(F)cc3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=Nc3ccccc3)C(C=O)C[C@@H]12,-8.3,2.9899438396932103,21_20
CC(=Nc1ccccc1C=O)C1C2=C(c3ccccc3C(=O)C2=O)N(CCOc2ccccc2)C(=O)N1c1ccccc1,-7.0,3.1310351568031303,21_21
O=C(O)COc1ccc(Cc2nc3cccc(-c4ccccc4F)c3s2)cc1,-7.5,3.6876877415770375,21_22
O=C1c2nn(-c3cccc(-c4ccccc4)c3)c(=O)c(C(=O)O)c2-c2cccc(-c3ccccc3)c21,-8.5,3.52405498847573,21_23
Cc1ccc2oc(-c3cccc(NC(=O)c4cccc5ccccc45)c3)nc2c1,-7.6,3.493495119637329,21_24
O=C(NCCN(Cc1ccc(F)cc1)c1ccc(Cl)cc1)C1CCC1,-6.5,3.647111005870384,21_25
N[C@@H](CC(=O)N1CCC[C@H]1c1nc(-c2ccccc2)co1)Cc1ccccc1F,-5.8,3.782818232768361,21_26
COc1cc(-n2nnc(-c3ccccc3NC(=O)c3ccc(C)cc3)n2)cc(OC)c1OC,-7.9,3.6082794762733768,21_27
CCN(CCCCCN1Cc2cccc3cccc(c23)C1=O)S(=O)(=O)c1ccccc1,-6.6,3.5704621114129544,21_28
O=C(Nc1ccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)cc1)Nc1cccc(-c2cccc(F)c2F)c1,-9.1,3.218592063451191,21_29
CNC(C(=O)NC(C(=O)N(C)[C@H](/C=C(\C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1cn(C)c2ccccc12,-6.4,3.417928215122047,21_30
O=C(Cc1cccc(Cl)c1)Nc1nnc(CCSCCc2nnc(NC(=O)c3ccccc3)s2)s1,-6.5,3.2880256352365214,21_31
Cc1nn(C)c(C)c1N(C)S(=O)(=O)c1ccc(-c2cccc(CN3CCCC3)c2)cc1,-6.8,3.7112840641872036,21_32
COc1cc2oc(-c3cccc(NC(=O)c4cccc(C)c4)c3)cc(=O)c2c(OC)c1OC,-6.2,3.663642208059766,21_33
O=C(Nc1ccccc1)c1ccccc1NC(=O)c1ccccc1Nc1cccc(-c2nnc3n2CCCCC3)c1,-8.0,2.2811874989247585,21_34
COc1ccccc1NC(=O)C=C1C=CC(=Nc2ncc3cc(-c4cccc(CN)c4)c(-c4ccccc4)nc3n2)C1,-7.6,3.2114835912296993,21_35
O=C(Nc1ccccc1C(=O)N1CCN(c2ccc(Cl)cc2)CC1)c1ccc(Cl)o1,-7.9,3.7612963962588237,21_36
O=C(Cc1ccccn1)NC(Cc1ccccc1)C(=O)C(=O)NCc1ccccc1-c1ccccc1O,-6.8,3.385237438914414,21_37
O=[N+]([O-])c1ccc(-c2cc(F)c(Cl)cc2Cl)cc1,-6.4,3.4008620257405435,21_38
CNC(=O)c1ccc2c(c1)-c1ccccc1C2(c1cccc2ccccc12)N1CC1,-7.1,3.368989652057113,21_39
COc1ccc(-c2ccc(Nc3ccnc(-c4cccc(F)c4)n3)cc2)cc1,-6.9,3.6408478938078206,21_40
O=CC=C1OC=c2c(oc3c(-c4cccc5ccccc45)c4ccc5ccccc5c4cc23)=CC=Cc2cc1ccc2F,-8.9,0.6096890218973101,21_41
Cc1c(C(=O)Nc2cccc(-c3cccc(C(F)(F)F)c3)c2)cccc1-c1ccc2c(c1)OCCO2,-7.9,3.5229414702623556,21_42
Cc1c(Cl)ccc2ccccc12,-5.3,2.918962650062636,21_43
O=C(O)Cc1cnc(NC(=O)c2cccc(-c3ccccc3Cc3ccccc3)c2)c2ccccc12,-8.8,3.374849480253327,21_44
Nc1nc(NCCNc2ncc(N3CCOCC3)c(-c3cccc(Cl)c3Cl)n2)ccc1[N+](=O)[O-],-7.8,3.121223263160652,21_45
O=c1c2ccccc2oc2c(-c3ccccc3)cc(-c3ccccc3)cc12,-8.1,3.238165606100659,21_46
O=C(O)C1CN(Cc2ccc(-c3nc4ccccc4c4nc(-c5ccccc5)nn34)cc2)C1,-8.1,3.5861111411452278,21_47
